Trait	nSNP	overall_p	mscomp	ratio_coveredSNP
20002_1065_Neale_UKBB_1	5519	5.21531511837468e-36	PC13 (1e-13)	1
20002_1065_PanUKBB_PanUKBBR1_1	225	2.46181640899843e-09	PC31 (2e-06)	0.0407682551186809
20002_1065_PanUKBB_PanUKBBR2_1	5519	2.66432240431446e-47	PC11 (5e-15)	1
20002_1066_Neale_UKBB_1	5519	0.469775671555133	PC24 (2e-02)	1
20002_1066_PanUKBB_PanUKBBR1_1	225	0.821188049725923	PC29 (2e-01)	0.0407682551186809
20002_1066_PanUKBB_PanUKBBR2_1	5519	0.519539622232534	PC33 (3e-02)	1
20002_1067_Neale_UKBB_1	5519	0.991278739327995	PC28 (9e-02)	1
20002_1067_PanUKBB_PanUKBBR1_1	225	0.638320310865857	PC36 (2e-01)	0.0407682551186809
20002_1067_PanUKBB_PanUKBBR2_1	5519	0.898640087038378	PC28 (5e-02)	1
20002_1072_Neale_UKBB_1	5519	0.00310353351329169	PC28 (1e-04)	1
20002_1072_PanUKBB_PanUKBBR1_1	225	0.175045359859871	PC37 (2e-02)	0.0407682551186809
20002_1072_PanUKBB_PanUKBBR2_1	5516	0.129177622105193	PC28 (7e-03)	0.999456423265084
20002_1074_Neale_UKBB_1	5519	0.0003846828259755	PC19 (7e-04)	1
20002_1074_PanUKBB_PanUKBBR1_1	225	0.0644726096107495	PC36 (7e-02)	0.0407682551186809
20002_1074_PanUKBB_PanUKBBR2_1	5519	5.46062879949523e-05	PC11 (7e-04)	1
20002_1075_Neale_UKBB_1	5519	8.71471093349683e-05	PC13 (2e-04)	1
20002_1075_PanUKBB_PanUKBBR1_1	225	0.00133407691190912	PC36 (6e-02)	0.0407682551186809
20002_1075_PanUKBB_PanUKBBR2_1	5519	1.21319600880658e-06	PC13 (1e-04)	1
20002_1076_Neale_UKBB_1	5519	0.849039099902813	PC32 (4e-02)	1
20002_1076_PanUKBB_PanUKBBR1_1	225	0.944724394789972	PC35 (4e-01)	0.0407682551186809
20002_1076_PanUKBB_PanUKBBR2_1	5519	0.665608842621283	PC32 (1e-02)	1
20002_1077_Neale_UKBB_1	5519	0.59413300905417	PC27 (2e-02)	1
20002_1077_PanUKBB_PanUKBBR1_1	225	0.904538065053662	PC38 (2e-01)	0.0407682551186809
